input,output,instruction
What is the fax number for the Karachi Main campus?,Fax: (021) 341 00549,
What is the address for the Peshawar campus?,"160, Industrial Estate, Jamrud Road",
What is the phone number for the Peshawar campus?,03341128128 or 03351128128 or 03361128128,
What is the fax number for the Peshawar campus?,Fax: (091) 582 2320,
What is the address for the Chiniot - Faisalabad campus?,"Loonaywala Stop (9 Km from Motorway Interchange), Faisalabad-Chiniot Road",
What is the phone number for the Chiniot - Faisalabad campus?,Tel: (041) 111-128-128,
What is the email for admissions for the Chiniot campus?,admissions.cfd@nu.edu.pk,
What is the email for admissions for the Islamabad campus?,admissions.isb@nu.edu.pk,
What is the email for admissions for the Karachi campus?,admissions.khi@nu.edu.pk,
What is the email for admissions for the Lahore campus?,admissions.lhr@nu.edu.pk,
What is the email for admissions for the Peshawar campus?,admissions.pwr@nu.edu.pk,
What is the extension for the Director in Karachi?,ext: 213,
What is the extension for the Director in Lahore?,ext: 227,
What is the extension for the Director in Islamabad?,ext: 101,
What is the extension for the Director in Peshawar?,ext: 102,
What is the extension for Accounts in Karachi?,ext: 216,
What is the extension for Accounts in Lahore?,ext: 209,
What is the extension for Accounts in Islamabad?,ext: 226,
What is the extension for Accounts in Peshawar?,ext: 117,
What is the extension for Academics in Karachi?,ext: 264,
What is the extension for Academics in Lahore?,ext: 289/233,
What is the extension for Academics in Islamabad?,ext: 623/119/137/218,
What is the extension for Academics in Peshawar?,ext: 108,
What is the extension for the Computer Lab in Karachi?,ext: 100,
What is the extension for the Computer Lab in Lahore?,ext: 215,
What is the extension for the Computer Lab in Islamabad?,ext: 214,
What is the extension for the Computer Lab in Peshawar?,ext: 120,
What is the extension for the Library in Karachi?,ext: 223,
What is the extension for the Library in Lahore?,ext: 210,
What is the extension for the Library in Islamabad?,ext: 231/232,
What is the extension for the Library in Peshawar?,ext: 119,
What is the extension for Admissions Inquiry in Karachi?,ext: 267/276,
What is the extension for Admissions Inquiry in Lahore?,dial 1,
What is the extension for Admissions Inquiry in Islamabad?,ext: 134/259/359,
What is the extension for Admissions Inquiry in Peshawar?,ext: 155,
What is the Admission Fee?,"Admission Fee of Rs 30,000 is payable once at the time of admission. If a graduate of this University is admitted to a higher degree program, then the admission fee is not payable again.",
What is the Security Deposit?,"A refundable security deposit of Rs 20,000 is also payable at the time of admission.",
When is the Tuition Fee payable?,Tuition Fee is payable in full before the start of each semester. It is subject to revision every year.,
What is the tuition fee per credit hour for the academic year 2024-25?,"Rs. 10,000",
What is the tuition fee per credit hour for BBA / BS?,"Rs. 10,000",
What is the tuition fee per credit hour for MBA / MS?,"Rs. 10,000",
What is the tuition fee per credit hour for PhD?,"Rs. 10,000",
What is the Additional Transcript Fee?,Rs. 200,
What is the Campus Transfer Fee?,"Rs. 5,000",
What is the Degree Correction Fee?,"Rs. 2,000",
What is the Semester Freeze Fee?,"Rs. 10,000",
What is the Student Activities Fund?,"Students contribute Rs 2,000 towards the Student Activities Fund per semester to support co-curricular and extra-curricular activities.",
What is the Late Payment Fine?,Late payment fine is levied on the entire outstanding fee (current as well as arrears) at the rate of Re 1.00 per day for every thousand rupees. Registration is suspended TWO months after the due date for payment of fee.,
Is Bachelor of Business Administration offered in Chiniot-Faisalabad?,Yes,
Is Bachelor of Business Administration offered in Islamabad?,Yes,
Is Bachelor of Business Administration offered in Karachi?,No,
Is Bachelor of Business Administration offered in Lahore?,Yes,
Is Bachelor of Business Administration offered in Peshawar?,No,
Is Bachelor of Business Administration offered in Program Type?,No,
Is Bachelor of Science (Accounting and Finance) offered in Chiniot-Faisalabad?,No,
Is Bachelor of Science (Accounting and Finance) offered in Islamabad?,Yes,
Is Bachelor of Science (Accounting and Finance) offered in Karachi?,No,
Is Bachelor of Science (Accounting and Finance) offered in Lahore?,Yes,
Is Bachelor of Science (Accounting and Finance) offered in Peshawar?,No,
Is Bachelor of Science (Accounting and Finance) offered in Program Type?,No,
Is Bachelor of Science (Artificial Intelligence) offered in Chiniot-Faisalabad?,Yes,
Is Bachelor of Science (Artificial Intelligence) offered in Islamabad?,Yes,
Is Bachelor of Science (Artificial Intelligence) offered in Karachi?,Yes,
Is Bachelor of Science (Artificial Intelligence) offered in Lahore?,No,
Is Bachelor of Science (Artificial Intelligence) offered in Peshawar?,Yes,
Is Bachelor of Science (Artificial Intelligence) offered in Program Type?,No,
Is Bachelor of Science (Business Analytics) offered in Chiniot-Faisalabad?,Yes,
Is Bachelor of Science (Business Analytics) offered in Islamabad?,Yes,
Is Bachelor of Science (Business Analytics) offered in Karachi?,Yes,
Is Bachelor of Science (Business Analytics) offered in Lahore?,Yes,
Is Bachelor of Science (Business Analytics) offered in Peshawar?,No,
Is Bachelor of Science (Business Analytics) offered in Program Type?,No,
Is Bachelor of Science (Civil Engineering) offered in Chiniot-Faisalabad?,No,
Is Bachelor of Science (Civil Engineering) offered in Islamabad?,No,
Is Bachelor of Science (Civil Engineering) offered in Karachi?,No,
Is Bachelor of Science (Civil Engineering) offered in Lahore?,Yes,
Is Bachelor of Science (Civil Engineering) offered in Peshawar?,No,
Is Bachelor of Science (Civil Engineering) offered in Program Type?,No,
Is Bachelor of Science (Computer Engineering) offered in Chiniot-Faisalabad?,No,
Is Bachelor of Science (Computer Engineering) offered in Islamabad?,Yes,
Is Bachelor of Science (Computer Engineering) offered in Karachi?,No,
Is Bachelor of Science (Computer Engineering) offered in Lahore?,No,
Is Bachelor of Science (Computer Engineering) offered in Peshawar?,Yes,
Is Bachelor of Science (Computer Engineering) offered in Program Type?,No,
Is Bachelor of Science (Computer Science) offered in Chiniot-Faisalabad?,Yes,
Is Bachelor of Science (Computer Science) offered in Islamabad?,Yes,
Is Bachelor of Science (Computer Science) offered in Karachi?,Yes,
Is Bachelor of Science (Computer Science) offered in Lahore?,Yes,
Is Bachelor of Science (Computer Science) offered in Peshawar?,Yes,
Is Bachelor of Science (Computer Science) offered in Program Type?,No,
Is Bachelor of Science (Cyber Security) offered in Chiniot-Faisalabad?,No,
Is Bachelor of Science (Cyber Security) offered in Islamabad?,Yes,
Is Bachelor of Science (Cyber Security) offered in Karachi?,Yes,
Is Bachelor of Science (Cyber Security) offered in Lahore?,No,
Is Bachelor of Science (Cyber Security) offered in Peshawar?,No,
Is Bachelor of Science (Cyber Security) offered in Program Type?,No,
Is Bachelor of Science (Data Science) offered in Chiniot-Faisalabad?,No,
Is Bachelor of Science (Data Science) offered in Islamabad?,Yes,
Is Bachelor of Science (Data Science) offered in Karachi?,Yes,
Is Bachelor of Science (Data Science) offered in Lahore?,Yes,
Is Bachelor of Science (Data Science) offered in Peshawar?,No,
Is Bachelor of Science (Data Science) offered in Program Type?,No,
Is Bachelor of Science (Electrical Engineering) offered in Chiniot-Faisalabad?,Yes,
Is Bachelor of Science (Electrical Engineering) offered in Islamabad?,Yes,
Is Bachelor of Science (Electrical Engineering) offered in Karachi?,Yes,
Is Bachelor of Science (Electrical Engineering) offered in Lahore?,Yes,
Is Bachelor of Science (Electrical Engineering) offered in Peshawar?,Yes,
Is Bachelor of Science (Electrical Engineering) offered in Program Type?,No,
Is Bachelor of Science (Financial Technology) offered in Chiniot-Faisalabad?,Yes,
Is Bachelor of Science (Financial Technology) offered in Islamabad?,Yes,
Is Bachelor of Science (Financial Technology) offered in Karachi?,Yes,
Is Bachelor of Science (Financial Technology) offered in Lahore?,Yes,
Is Bachelor of Science (Financial Technology) offered in Peshawar?,No,
Is Bachelor of Science (Financial Technology) offered in Program Type?,No,
Is Bachelor of Science (Software Engineering) offered in Chiniot-Faisalabad?,Yes,
Is Bachelor of Science (Software Engineering) offered in Islamabad?,Yes,
Is Bachelor of Science (Software Engineering) offered in Karachi?,Yes,
Is Bachelor of Science (Software Engineering) offered in Lahore?,Yes,
Is Bachelor of Science (Software Engineering) offered in Peshawar?,Yes,
Is Bachelor of Science (Software Engineering) offered in Program Type?,No,
Is Master of Business Administration offered in Chiniot-Faisalabad?,Yes,
Is Master of Business Administration offered in Islamabad?,Yes,
Is Master of Business Administration offered in Karachi?,No,
Is Master of Business Administration offered in Lahore?,Yes,
Is Master of Business Administration offered in Peshawar?,No,
Is Master of Business Administration offered in Program Type?,No,
Is Master of Science (Applied Linguistics) offered in Chiniot-Faisalabad?,No,
Is Master of Science (Applied Linguistics) offered in Islamabad?,No,
Is Master of Science (Applied Linguistics) offered in Karachi?,No,
Is Master of Science (Applied Linguistics) offered in Lahore?,Yes,
Is Master of Science (Applied Linguistics) offered in Peshawar?,No,
Is Master of Science (Applied Linguistics) offered in Program Type?,No,
Is Master of Science (Artificial Intelligence) offered in Chiniot-Faisalabad?,No,
Is Master of Science (Artificial Intelligence) offered in Islamabad?,Yes,
Is Master of Science (Artificial Intelligence) offered in Karachi?,Yes,
Is Master of Science (Artificial Intelligence) offered in Lahore?,No,
Is Master of Science (Artificial Intelligence) offered in Peshawar?,No,
Is Master of Science (Artificial Intelligence) offered in Program Type?,No,
Is Master of Science (Business Analytics) offered in Chiniot-Faisalabad?,No,
Is Master of Science (Business Analytics) offered in Islamabad?,Yes,
Is Master of Science (Business Analytics) offered in Karachi?,Yes,
Is Master of Science (Business Analytics) offered in Lahore?,Yes,
Is Master of Science (Business Analytics) offered in Peshawar?,No,
Is Master of Science (Business Analytics) offered in Program Type?,No,
Is Master of Science (Civil Engineering) offered in Chiniot-Faisalabad?,No,
Is Master of Science (Civil Engineering) offered in Islamabad?,No,
Is Master of Science (Civil Engineering) offered in Karachi?,No,
Is Master of Science (Civil Engineering) offered in Lahore?,Yes,
Is Master of Science (Civil Engineering) offered in Peshawar?,No,
Is Master of Science (Civil Engineering) offered in Program Type?,No,
Is Master of Science (Computer Science) offered in Chiniot-Faisalabad?,Yes,
Is Master of Science (Computer Science) offered in Islamabad?,Yes,
Is Master of Science (Computer Science) offered in Karachi?,Yes,
Is Master of Science (Computer Science) offered in Lahore?,Yes,
Is Master of Science (Computer Science) offered in Peshawar?,Yes,
Is Master of Science (Computer Science) offered in Program Type?,No,
Is Master of Science (Cyber Security) offered in Chiniot-Faisalabad?,No,
Is Master of Science (Cyber Security) offered in Islamabad?,Yes,
Is Master of Science (Cyber Security) offered in Karachi?,Yes,
Is Master of Science (Cyber Security) offered in Lahore?,Yes,
Is Master of Science (Cyber Security) offered in Peshawar?,No,
Is Master of Science (Cyber Security) offered in Program Type?,No,
Is Master of Science (Data Science) offered in Chiniot-Faisalabad?,Yes,
Is Master of Science (Data Science) offered in Islamabad?,Yes,
Is Master of Science (Data Science) offered in Karachi?,Yes,
Is Master of Science (Data Science) offered in Lahore?,Yes,
Is Master of Science (Data Science) offered in Peshawar?,Yes,
Is Master of Science (Data Science) offered in Program Type?,No,
Is Master of Science (Electrical Engineering) offered in Chiniot-Faisalabad?,Yes,
Is Master of Science (Electrical Engineering) offered in Islamabad?,Yes,
Is Master of Science (Electrical Engineering) offered in Karachi?,Yes,
Is Master of Science (Electrical Engineering) offered in Lahore?,Yes,
Is Master of Science (Electrical Engineering) offered in Peshawar?,No,
Is Master of Science (Electrical Engineering) offered in Program Type?,No,
Is Master of Science (Mathematics) offered in Chiniot-Faisalabad?,No,
Is Master of Science (Mathematics) offered in Islamabad?,No,
Is Master of Science (Mathematics) offered in Karachi?,No,
Is Master of Science (Mathematics) offered in Lahore?,Yes,
Is Master of Science (Mathematics) offered in Peshawar?,No,
Is Master of Science (Mathematics) offered in Program Type?,No,
Is Master of Science (Software Engineering) offered in Chiniot-Faisalabad?,No,
Is Master of Science (Software Engineering) offered in Islamabad?,Yes,
Is Master of Science (Software Engineering) offered in Karachi?,Yes,
Is Master of Science (Software Engineering) offered in Lahore?,No,
Is Master of Science (Software Engineering) offered in Peshawar?,No,
Is Master of Science (Software Engineering) offered in Program Type?,No,
Is Master of Science (Software Project Management) offered in Chiniot-Faisalabad?,No,
Is Master of Science (Software Project Management) offered in Islamabad?,No,
Is Master of Science (Software Project Management) offered in Karachi?,Yes,
Is Master of Science (Software Project Management) offered in Lahore?,Yes,
Is Master of Science (Software Project Management) offered in Peshawar?,No,
Is Master of Science (Software Project Management) offered in Program Type?,No,
Is Doctor of Philosophy (Civil Engineering) offered in Chiniot-Faisalabad?,No,
Is Doctor of Philosophy (Civil Engineering) offered in Islamabad?,No,
Is Doctor of Philosophy (Civil Engineering) offered in Karachi?,No,
Is Doctor of Philosophy (Civil Engineering) offered in Lahore?,Yes,
Is Doctor of Philosophy (Civil Engineering) offered in Peshawar?,No,
Is Doctor of Philosophy (Civil Engineering) offered in Program Type?,No,
Is Doctor of Philosophy (Computer Science) offered in Chiniot-Faisalabad?,Yes,
Is Doctor of Philosophy (Computer Science) offered in Islamabad?,Yes,
Is Doctor of Philosophy (Computer Science) offered in Karachi?,Yes,
Is Doctor of Philosophy (Computer Science) offered in Lahore?,Yes,
Is Doctor of Philosophy (Computer Science) offered in Peshawar?,Yes,
Is Doctor of Philosophy (Computer Science) offered in Program Type?,No,
Is Doctor of Philosophy (Electrical Engineering) offered in Chiniot-Faisalabad?,Yes,
Is Doctor of Philosophy (Electrical Engineering) offered in Islamabad?,Yes,
Is Doctor of Philosophy (Electrical Engineering) offered in Karachi?,Yes,
Is Doctor of Philosophy (Electrical Engineering) offered in Lahore?,Yes,
Is Doctor of Philosophy (Electrical Engineering) offered in Peshawar?,No,
Is Doctor of Philosophy (Electrical Engineering) offered in Program Type?,No,
Is Doctor of Philosophy (Management Sciences) offered in Chiniot-Faisalabad?,No,
Is Doctor of Philosophy (Management Sciences) offered in Islamabad?,Yes,
Is Doctor of Philosophy (Management Sciences) offered in Karachi?,No,
Is Doctor of Philosophy (Management Sciences) offered in Lahore?,Yes,
Is Doctor of Philosophy (Management Sciences) offered in Peshawar?,No,
Is Doctor of Philosophy (Management Sciences) offered in Program Type?,No,
Is Doctor of Philosophy (Mathematics) offered in Chiniot-Faisalabad?,No,
Is Doctor of Philosophy (Mathematics) offered in Islamabad?,No,
Is Doctor of Philosophy (Mathematics) offered in Karachi?,No,
Is Doctor of Philosophy (Mathematics) offered in Lahore?,Yes,
Is Doctor of Philosophy (Mathematics) offered in Peshawar?,No,
Is Doctor of Philosophy (Mathematics) offered in Program Type?,No,
Is Doctor of Philosophy (Software Engineering) offered in Chiniot-Faisalabad?,No,
Is Doctor of Philosophy (Software Engineering) offered in Islamabad?,Yes,
Is Doctor of Philosophy (Software Engineering) offered in Karachi?,Yes,
Is Doctor of Philosophy (Software Engineering) offered in Lahore?,No,
Is Doctor of Philosophy (Software Engineering) offered in Peshawar?,No,
Is Doctor of Philosophy (Software Engineering) offered in Program Type?,No,
What are the dates for Admission Application Submission for BBA BS(A&F) & BS?,May 20 (Mon) - Jul 5 (Fri),
What are the dates for Admission Application Submission for MBA MS PhD?,May 20 (Mon) - Jul 5 (Fri),
What are the dates for Admission Tests for BBA BS(A&F) & BS?,Jul 8 (Mon) - Jul 19 (Fri),
What are the dates for Admission Tests for MBA MS PhD?,Jul 8 (Mon) - Jul 19 (Fri),
When is the Merit List announcement of selected/test qualified candidates for BBA BS(A&F) & BS?,Jul 23 (Tue),
When is the Merit List announcement of selected/test qualified candidates for MBA MS PhD?,Jul 23 (Tue),
When are the Interviews scheduled for MBA MS PhD?,Jul 26 (Fri),
What are the dates for Admission Formalities for BBA BS(A&F) & BS?,Jul 26 (Fri) - Aug 13 (Tue),
What are the dates for Admission Formalities for MBA MS PhD?,Jul 26 (Fri) - Aug 13 (Tue),
When is the Commencement of classes for BBA BS(A&F) & BS?,Aug 19 (Mon),
When is the Commencement of classes for MBA MS PhD?,Aug 19 (Mon),
Merit Scholarships for Bachelor Students,Merit scholarship is awarded to the Top THREE position holders in each Group of each Examination Board. Scholarship is also offered to top three position holders in the merit list of NU admission merit list. This scholarship is for four years of un-interrupted studies with full course load and is equal to the full tuition fee.Continuation of merit scholarship is subject to maintaining semester GPA of 3.0 or higher.,
HEC Scholarships for MS and PhD students,"The Higher Education Commission (HEC) provides liberal scholarships to students desirous of studying for the MS and PhD degrees at this university. The scholarship covers tuition fee, monthly stipend and book allowance.",
Punjab Educational Endowment Fund (PEEF) Scholarships,The Government of Punjab gives 42 scholarships to indigent students having domicile of Punjab. Newly admitted students in any campus of the university can apply for this scholarship.The scholarship is for 4-year undergraduate studies and covers some portion of the tuition fee. The remaining tuition fee can be given by the University as Qarz-e-Hasna.,
Sindh Government Endowment Board Scholarships,"The Sindh Government offers scholarships to students of Karachi campus on need-cum-merit for both under-graduate and graduate studies. The scholarship covers full tuition fee for entire duration of the program, renewable every year. The quota for students from rural sector is 60%, and the remaining 40% is for the students from urban sector. About 25 new scholarships are offered every year under this scheme.",
Baluchistan Government Endowment Board Scholarship,"Baluchistan Government offers scholarships to students of Karachi campus on need-cum-merit for both under-graduate and graduate studies. The scholarship covers full tuition fee for entire duration of the program, renewable every year.",
OSAF Financial Assistance (Study Loan),OSAF (Old Students Association of FAST) arranges financial assistance for those students who cannot afford to pay their full fee.,
Other Scholarships,"In addition to the above scholarships there are various community based scholarships offered by various committees and foundations such as, Memon Community Scholarships, Bohra Community Scholarships, INFAQ Foundation scholarships, Agha Khan Foundation Scholarships, etc. For Karachi campus, Alumni Association, Hindu Community, and Agha Khan Foundation also provides scholarships in limited numbers.",
Assistantships,The University may utilize the services of its students in its different activities. These students are compensated for rendering their services.,
Bank Loans,"PICIC Commercial Bank, NIB Bank, Bank Alfalah, Bank Islami and MCB offer loans to students.",
Study Loan,"Realizing that the fees may not be affordable for some of its students, FAST arranges financial assistance in the form of interest-free study loans for bright indigent students. This assistance is subject to renewal every semester in light of the student’s academic performance. Financial assistance is limited to tuition fee only and is discontinued if the student’s CGPA falls below the minimum specified to avoid warning. Loan recipients MUST take full load of courses offered.",
Applying for Study Loan,Applicants desirous of seeking study loan should apply for this purpose on the prescribed form available from all campuses or downloadable from the University web site.,
Repayment of Study Loan,"The repayment of loan starts three months after graduation or soon after getting employment, whichever is earlier. The total amount has to be repaid within a period of four years after graduation. Students are required to sign a contract allowing future employers to deduct loan repayments at source and remit it to the University.",
What is the admission process?,"The Admission Application Form must be filled online following the instructions. Applications received through post or by hand will not be accepted. The online system assigns a unique Application Reference Number (ARN) to each applicant, which must be noted for later use. Applicants must confirm the correctness of the information entered in the form. Incorrect information may lead to application/admission cancellation without fee refund. Applicants will deposit the application fee in the designated bank, which is non-refundable/adjustable. After paying the fee, applicants will print their Admit Card bearing their Test Roll Number and visit the test campus on the specified date and time. Admission will be canceled if the required exam result is not available at the time of admission.",
How do I apply for admission?,"Fill out the Admission Application Form online as per instructions. No applications via post or hand delivery will be accepted. The system assigns an ARN to each applicant for future reference. Verify the information entered in the form for accuracy. Incorrect information can result in application/admission cancellation without refund. Deposit the application fee in the designated bank (non-refundable/adjustable). After payment, print the Admit Card with your Test Roll Number and attend the test on the specified date and time. Admission will be canceled if the required exam result is unavailable at the time of admission.",
What are the details of the NU Online Admission Test for Graduate programs?,"Information on various Admission Tests is available on the University's admission website. The online admission test is taken on a computer. Candidates should be familiar with the use of mouse and keyboard. Each candidate gets a different examination, with sections (English, Analytical skills, Math, etc.) appearing in a random sequence. Candidates can review and change their responses within each section. Each section has a fixed duration, and time saved in one section is not carried forward. A summary of results is displayed at the end of the test. The duration is between two and three hours. Applicants should reach the test center on the date and time specified on the admit card. Latecomers will not be allowed to take the test. Only the Admit Card is allowed in the test center. The test is held at all campuses of the University (Karachi, Lahore, Islamabad, and Peshawar).",
What should I know about the NU Online Admission Test for Graduate programs?,"Admission Tests details are available on the University's admission website. The online admission test is conducted on a computer. Candidates should be proficient with using a mouse and keyboard. Each candidate's test is unique, with sections like English, Analytical skills, and Math appearing randomly. Candidates can navigate within each section to review and modify their answers. Each section is timed independently. The test summary is displayed at the end, and it lasts two to three hours. Applicants must arrive on time as indicated on their admit cards; latecomers are not permitted. Only Admit Cards are allowed in the test center. The test is administered at all University campuses.",
How are selected candidates informed?,The selected candidates are informed through SMS on their cell phones and also via email. Candidates should check their admission status from the University website.,
How will I know if I am selected?,Selected candidates are notified via SMS and email. Candidates can also check their admission status on the University website.,
What must foreign nationals submit at the time of admission?,"At the time of admission, foreign nationals must submit a No Objection Certificate (NOC) from the Ministry of Education, Government of Pakistan.",
What documents do foreign nationals need to provide for admission?,"Foreign nationals must submit a No Objection Certificate (NOC) from the Ministry of Education, Government of Pakistan at the time of admission.",
Can SAT scores be used for admission to undergraduate programs?,"Those who have taken the SAT examination can apply for admission to the undergraduate programs, i.e., BBA or BS.",
Can GRE scores be used for admission to graduate programs?,"Those who have taken the GRE (subject test) can apply for admission to graduate programs, i.e., MS, MBA, or PhD.",
What are the merit scholarships for Bachelor students?,Merit scholarship is awarded to the Top THREE position holders in each Group of each Examination Board. Scholarships are also offered to the top three position holders in the NU admission merit list. This scholarship is for four years of uninterrupted studies with a full course load and is equal to the full tuition fee. Continuation of the merit scholarship is subject to maintaining a semester GPA of 3.0 or higher.,
Who is eligible for merit scholarships for Bachelor students?,"The top three position holders in each Group of each Examination Board and the top three position holders in the NU admission merit list are eligible. The scholarship covers four years of uninterrupted studies with a full course load and full tuition fee, subject to maintaining a semester GPA of 3.0 or higher.",
What scholarships are available for MS and PhD students?,"The Higher Education Commission (HEC) provides liberal scholarships to students studying for MS and PhD degrees at this university. The scholarship covers tuition fee, monthly stipend, and book allowance.",
What does the HEC scholarship for MS and PhD students cover?,"HEC scholarships cover the tuition fee, monthly stipend, and book allowance for MS and PhD students.",
What are the PEEF Scholarships?,"The Government of Punjab gives 42 scholarships to indigent students with Punjab domicile. Newly admitted students in any campus of the university can apply. The scholarship covers some portion of the tuition fee, with the remaining fee potentially covered by the University as Qarz-e-Hasna.",
Who can apply for the Punjab Educational Endowment Fund (PEEF) Scholarships?,Indigent students with Punjab domicile can apply. The scholarship is for 4-year undergraduate studies and covers part of the tuition fee. The remaining fee may be covered by the University as Qarz-e-Hasna.,
What scholarships does the Sindh Government offer?,"The Sindh Government offers scholarships to Karachi campus students on need-cum-merit for undergraduate and graduate studies. The scholarship covers full tuition fee for the entire program duration and is renewable yearly. The quota for rural students is 60%, and 40% for urban students. About 25 new scholarships are offered yearly under this scheme.",
Who is eligible for the Sindh Government Endowment Board Scholarships?,"Students from Karachi campus on need-cum-merit for both undergraduate and graduate studies are eligible. The scholarship covers full tuition fee, renewable yearly. The quota is 60% for rural students and 40% for urban students, with about 25 new scholarships offered yearly.",
What scholarships does the Baluchistan Government offer?,The Baluchistan Government offers scholarships to Karachi campus students on need-cum-merit for undergraduate and graduate studies. The scholarship covers full tuition fee for the entire program duration and is renewable yearly.,
Who can apply for the Baluchistan Government Endowment Board Scholarship?,Karachi campus students on need-cum-merit for both undergraduate and graduate studies can apply. The scholarship covers full tuition fee and is renewable yearly.,
What is OSAF Financial Assistance?,OSAF (Old Students Association of FAST) arranges financial assistance for students who cannot afford their full fee.,
Who provides financial assistance for students unable to pay their full fee?,The Old Students Association of FAST (OSAF) provides financial assistance for such students.,
What other scholarships are available?,"Various community-based scholarships are available, such as Memon Community Scholarships, Bohra Community Scholarships, INFAQ Foundation Scholarships, and Agha Khan Foundation Scholarships. Karachi campus also offers scholarships from the Alumni Association, Hindu Community, and Agha Khan Foundation.",
Are there any community-based scholarships available?,"Yes, scholarships are offered by the Memon Community, Bohra Community, INFAQ Foundation, Agha Khan Foundation, and others. Karachi campus also has scholarships from the Alumni Association, Hindu Community, and Agha Khan Foundation.",
Can students get compensated for working at the University?,"Yes, the University may utilize the services of its students in different activities, and these students are compensated.",
Does the University offer compensated work opportunities for students?,The University may employ students in various activities and provide compensation for their services.,
What banks offer loans to students?,"PICIC Commercial Bank, NIB Bank, Bank Alfalah, Bank Islami, and MCB offer loans to students.",
Which financial institutions provide loans for students?,"Students can get loans from PICIC Commercial Bank, NIB Bank, Bank Alfalah, Bank Islami, and MCB.",
Does the University offer study loans?,"Yes, FAST arranges interest-free study loans for bright indigent students. This assistance is renewed each semester based on academic performance. It covers tuition fees only and is discontinued if the students CGPA falls below the minimum specified to avoid warning. Loan recipients must take a full load of courses.",
Are there any interest-free study loans available for students?,"Yes, the University provides interest-free study loans for bright indigent students, covering tuition fees only and subject to academic performance renewal each semester. Loan recipients must take a full course load.",
How can students apply for a study loan?,Students should apply using the prescribed form available at all campuses or downloadable from the University website.,
What is the procedure to apply for a study loan?,"Applicants need to fill out the prescribed form, available at all campuses or downloadable from the University website.",
When does repayment of the study loan start?,"The repayment of the loan starts three months after graduation or soon after getting employment, whichever is earlier. The total amount must be repaid within four years after graduation. Students must sign a contract allowing future employers to deduct loan repayments at source and remit it to the University.",
What is the timeline for repaying the study loan?,"Repayment starts three months after graduation or upon employment, whichever comes first. The total loan amount must be repaid within four years of graduation, with a contract for employer deduction and remittance.",
