input,output,instruction
How many courses should students on academic warning register for?,Students on academic warning should not register for more than five courses.,
What should students with a warning count of 2 avoid?,Students with a warning count of 2 must not register for a new course.,
What is required for students with a warning count of 2 before they can register for courses?,Parents/guardians are called to the campus for a consultative meeting with the Head of Department (HoD).,
What must students on academic warning obtain to register add drop or withdraw from a course?,Students on academic warning must obtain written approval from their Head of Department for each course they register add drop or withdraw from.,
What must students studying under scholarships do regarding course load?,Students studying under scholarships (OSP HEC FAST or others) must take a full load.,
What is the purpose of the Final Year Project (FYP)?,The Final Year Project (FYP) is completed in two regular semesters and is divided into FYP-I and FYP-II.,
What must a student have passed to register for FYP-I?,A student must have passed all courses shown for the first six semesters in the study plan of their degree program to register for FYP-I.,
Who can allow registration in FYP-I if a student has a deficiency of one course?,The Head of Department can allow registration in cases where there is a deficiency of one course.,
Who can allow registration in FYP-I if a student has a deficiency of two courses?,The Director of the campus can allow registration in cases where there is a deficiency of two courses.,
What happens if a student has a deficiency of more than two courses?,Students having a deficiency of more than two courses are not allowed registration in FYP-I.,
Can students on academic warning register for FYP-I?,No students on academic warning cannot register for FYP-I.,
When is registration in FYP-II allowed?,Registration in FYP-II is allowed only after the successful completion of FYP-I.,
Within what time frame should a request to add or drop a course be made?,The request should be made within the first two weeks of a semester.,
Are students allowed to drop a course after the first two weeks?,No students are not allowed to drop any course after the first two weeks.,
Can students withdraw from a course in their first semester?,No students are not allowed to withdraw from any course in the first semester.,
Under what conditions is withdrawal not allowed due to shortage of attendance?,Withdrawal is not allowed due to shortage of attendance unless it is due to reasons beyond one's control such as hospitalization.,
Who must countersign an application for withdrawal from a course?,The application for withdrawal from course(s) must be countersigned by the parent or guardian of the student.,
By when must a request for withdrawal be submitted to the Head of Department (HoD)?,The request for withdrawal must be submitted to the HoD before the last day of classes.,
Who must approve a request to withdraw from a course?,A request to withdraw from a course requires the approval of the HoD.,
What happens if a course has an associated lab and a student wants to withdraw?,For courses having an associated lab withdrawal is always from both theory and lab portions of the course.,
Is the fee refunded for a withdrawn course?,No the fee is not refunded for a withdrawn course.,
What should students under warning do regarding courses in which their GPA was less than the minimum required CGPA?,Students under warning should repeat such passed courses in which their GPA was less than the minimum CGPA required for their degree.,
Can a student repeat a course to improve their grade?,Yes a student can repeat a course if they desire to improve their grade.,
How is the CGPA calculated when a course is repeated?,Only the most recent grade is used in calculating the CGPA.,
What appears on the transcript for all repeated courses?,A repeat count appears on the transcript for all repeated courses.,
What happens if a student misses a quiz or assignment?,The student is awarded zero marks in that quiz or assignment.,
Is there a provision for retaking midterms and final examinations?,Yes there is a provision for a retake in case of the student's illness serious accident or death in the immediate family.,
Who examines the request for a repeat test or exam?,A Faculty Committee examines the request of the student for a repeat test or exam.,
When should a retake of a final exam be held if allowed?,If allowed the retake of a final exam should be held as soon as possible but not later than one week before the start of the next semester.,
When should the grade in the course be finalized if a retake is allowed?,The grade in the course should be finalized before the start of the next semester.,
Is there a fee associated with retake exams?,Yes the retake exam fee is payable before the examination.,
How long will the Summer Semester last?,The Summer Semester will last 8 to 9 weeks.,
Is the Summer Semester optional or mandatory?,The Summer Semester will be offered as an optional semester.,
How will the contact hours per week during the Summer Semester compare to a regular semester?,The contact hours per week during the Summer Semester will be doubled to ensure that the course is completely taught in summer despite having half the duration as compared to a regular semester.,
Will research courses or projects be offered during the Summer Semester?,No research courses or projects will not be offered during the Summer Semester.,
Can a student register for a new course during the Summer Semester?,A student cannot register for a new course unless an elective course is being offered by a distinguished scholar or professional who is only available during summer.,
Are students allowed to register for courses in the Summer Semester that they have previously taken and received a 'W' grade?,No students are not allowed to register in the Summer Semester for courses they have previously taken and were awarded a 'W' grade.,
How many courses can a student repeat during the Summer Semester?,A student will be allowed to repeat a maximum of 2 courses including associated labs if any.,
By when can a student withdraw from a summer course?,A student can withdraw from a summer course on or before the last day of classes.,
Can summer courses be dropped and what happens to the fee?,Summer courses cannot be dropped; therefore the fee is neither refunded nor carried forward to the next semester(s).,
Is financial assistance scholarships or fee concessions available during the Summer Semester?,No financial assistance scholarships or fee concessions are not available in the Summer Semester.,
How many students must register for a summer course for it to be offered?,A minimum of TEN (10) students should register in a summer course for it to be offered.,
How does the Warning Count change during the Summer Semester?,The Warning Count is incremented or decremented in the Summer Semester.,
Under what grounds will a student's request for transfer between campuses be considered?,A student's request for transfer between campuses will be considered on the grounds of the death of a parent posting of a parent to the city where the transfer is desired or marriage of a female student.,
What happens if a student's parent is posted to the city where they want to transfer?,The transfer request will be considered if the student's parent is posted to the city where the transfer is desired.,
Can a female student request a transfer due to marriage?,Yes a female student can request a transfer due to marriage.,
What is one condition that will prevent a student's transfer request from being considered?,The student is under disciplinary punishment.,
What is another condition that will prevent a student's transfer request from being considered?,Disciplinary action is pending against the student.,
Will a student with outstanding dues be considered for transfer?,No a student with outstanding dues will not be considered for transfer.,
Can a transfer request be considered during the course of a semester?,No transfer requests will not be considered during the course of a semester.,
Under what circumstances can a student request a 'Semester Freeze'?,A student may request a 'Semester Freeze' under exceptional circumstances by contacting the Campus Director and must pay a semester freeze fee.,
Is it allowed to freeze the first two semesters for BS programs or the first semester for MS programs?,No freezing of the first two semesters for BS and the first semester for MS is not allowed.,
Is concurrent admission in more than one degree program allowed?,No concurrent admission in more than one degree program is not allowed.,
What situations lead to the suspension of a student's registration?,Registration of a student is suspended on the recommendation of a Disciplinary Committee unsettled financial or other matters with the University or not completing registration formalities in time.,
Can a student request the restoration of suspended registration?,Yes a student whose registration is suspended may request restoration provided they have cleared all issues that led to the suspension and paid all dues.,
What results in the closure of admission?,The closure of admission results in termination of studies at the University. Admission will be closed in cases of failure to restore suspended registration failure to re-continue studies after freezing admission for two consecutive semesters or admission obtained on false documents.,
What situations lead to the closure of admission beyond those previously mentioned?,Admission will be closed if there is a 3rd Academic Warning as a result of Disciplinary Action or if the student requests to close admission for personal reasons.,
Can a former student seek readmission to the university?,Yes a former student can seek readmission by taking the relevant admission test.,
What happens if a former student qualifies for admission on merit?,The student is admitted as a NEW student.,
Are credits from previous courses transferable for a former student?,Only credits of relevant courses with at least a C grade are transferable not the CGPA earned in the transferred courses.,
If credit is given for a course what else is also credited?,If credit is given for a course then credit is also given for passed prerequisite courses.,
How many times can a former student who was closed due to 3 academic warnings be readmitted?,A former student closed due to 3 academic warnings can be readmitted only once.,
Can a former student who was on disciplinary warning be readmitted?,No a former student who had been on disciplinary warning shall not be readmitted.,
Can a current student seek admission in another campus of the University?,Yes a current student can seek admission in another campus of the University.,
What must a current student do to be admitted to another campus?,The student must take the relevant admission test.,
What happens if a current student qualifies for admission on merit?,The student is admitted as a NEW student.,
What must students refrain from in quizzes assignments and exams?,Students must refrain from unfair means in quizzes assignments and exams.,
What is the minimum punishment for using unfair means?,The minimum punishment for using unfair means is the award of zero marks in that test assignment midterm or final examination.,
What happens if the Course Instructor refers the matter to the Disciplinary Committee?,If the Course Instructor refers the matter to the Disciplinary Committee then the maximum punishment can be an award of expulsion.,
What is the minimum punishment for using unfair means in quizzes assignments or exams?,The minimum punishment is the award of zero marks in that test assignment midterm or final examination.,
What could happen if the Course Instructor refers the matter to the Disciplinary Committee?,The maximum punishment can be an award of 'F' grade in that course.,
What additional consequences can occur if the Head of Department refers the matter to the Disciplinary Committee of the Campus?,The 'F' grade may be awarded in all courses taken in that semester and it may also result in suspension or expulsion from the university.,
What must students do to maintain a comfortable academic environment at the campus?,Students must abide by the rules and regulations of the University and follow a code of conduct.,
What happens if a student fails to observe the disciplinary standards of the University?,Failure to observe disciplinary standards will require the student to appear before a disciplinary committee.,
What actions can be recommended by the disciplinary committee?,The disciplinary committee may recommend actions such as imposition of a fine suspension expulsion or disqualification from academic honors like awards or scholarships.,
What are some reasons that will call for disciplinary action?,Reasons for disciplinary action include disregard or disobedience of University rules willful defiance of University authority involvement in activities against the University's interest use of unfair means or breach of norms improper behavior any act of dishonesty and association with harmful actions.,
Can a student's improper behavior in or outside the classroom lead to disciplinary action?,Yes improper behavior in or outside the classroom can lead to disciplinary action.,
Is the use of unfair means considered grounds for disciplinary action?,Yes the use of unfair means or breach of norms is considered grounds for disciplinary action.,
What is the maximum period allowed to complete degree requirements for BS/BBA programs?,The maximum period allowed is seven (7) years extendable for one year with the approval of Statutory Bodies.,
What is the maximum period allowed to complete degree requirements for MBA programs?,The maximum period allowed is three (3) years.,
What is the maximum period allowed to complete degree requirements for MS programs?,The maximum period allowed is four (4) years.,
What is the maximum period allowed to complete degree requirements for PhD programs?,The maximum period allowed is eight (8) years.,
Who has the final authority for interpretation and decision in case of ambiguity or non-existence of rules?,The final authority for interpretation and decision rests with the University.,
Is admission to the university based on merit or other criteria?,Admission to the university is based on merit only.,
Are there any quotas or reserved seats for admission?,No there are no quotas or reserved seats.,
Is there an age limit for applicants?,No there is no age limit for the applicants.,
How is merit determined for admission?,Merit is determined either through the University's own admission test or an equivalent test conducted by a reputable organization.,
What must foreign nationals submit at the time of admission?,Foreign nationals must submit a No Objection Certificate (NOC) from the Ministry of Education Government of Pakistan.,
Can applicants use NTS-NAT scores for admission?,Yes those who have taken the NTS-NAT examination in the previous six months can apply for admission to Bachelor degree programs.,
Can applicants use NTS-GAT scores for admission?,Yes applicants who have taken the GAT-Subject test can apply for admission in MS programs.,
Can those who have taken the SAT examination apply for admission?,Yes those who have taken the SAT examination can apply for admission to the bachelor's degree programs.,
Is admission through SAT examination available for all students?,No admission through SAT examination is only for those students who reside abroad.,
Can candidates awaiting their FA/FSc/A-level results apply for admission?,Yes candidates awaiting their FA/FSc/A-level results can also apply for admission.,
What kind of admission do candidates awaiting results receive?,They are given provisional admission subject to passing the examination with required marks.,
What happens if a candidate fails to qualify the examination?,If a candidate fails to qualify the exam then the admission shall stand cancelled. The tuition fee shall be refunded as per HEC guidelines.,
How should students inform the university about their results?,Students MUST immediately inform the university about their result along with an application for the refund of dues.,
How must the Admission Application Form be submitted?,The Admission Application Form must be filled online at the University's website: admission.nu.edu.pk.,
Are applications accepted through post or by hand?,No applications are not accepted through post or by hand.,
What is the purpose of the Unique Application Reference Number (ARN)?,The online system assigns a Unique Application Reference Number (ARN) to each applicant which must be noted for later use.,
What is the application processing fee?,The application processing fee is Rs 1500.,
Is there an additional fee for applying to more than one campus?,Yes Rs 500 is payable for each additional campus.,
What is the fee for taking more than one type of Admission Test?,Rs 500 is payable for each additional type of Admission Test.,
How many types of admission tests are there for Bachelor programs?,For Bachelor programs there are two types of admission tests.,
How many types of admission tests are there for MS and PhD programs?,For MS and PhD programs there is a different admission test for each program.,
How should the Application Processing Fee be deposited?,The Application Processing Fee should be deposited in the designated Bank.,
Is the Application Processing Fee refundable or adjustable?,The application fee is non-refundable and non-adjustable.,
What must the applicant do after paying the Application Processing Fee?,The applicant MUST print his/her ADMIT CARD bearing the date time and venue of the test.,
What happens if an applicant does not bring their Admit Card?,Candidates without admit cards will not be allowed to take the test.,
Where can information on Online Admission Tests be found?,Information on Online Admission Tests is available on the University's admission website: admissions.nu.edu.pk.,
How is the Online Admission Test administered?,The online admission test is taken on a computer.,
What should a candidate be familiar with before taking the test?,The candidate should be familiar with the use of a mouse and the keyboard.,
How are the sections and questions of the test presented?,The sections of a test (English Analytical skills Math etc.) appear in a random order. Questions related to different sections also appear in a random order.,
Can a candidate review or change their responses during the test?,Yes in each section a candidate can move forward and backwards to review and change responses within the current section.,
What should applicants do if they are late for the test?,Latecomers will not be allowed to take the test.,
What should applicants bring to the test Centre?,Applicants should only bring their Admit Cards to the test Centre.,
What happens if an applicant does not have an endorsed Admit Card?,No applicant will be allowed to take the test without an endorsed Admit Card.,
Where is the Admission Test held?,The Admission Test is held at all campuses of the University (Karachi Lahore Islamabad Peshawar and Chiniot-Faisalabad).,
What is the topical distribution of the admission test for BBA BS(BA) BS (Computing) and BS (A&F) programs?,Essay writing: 15% Analytical Skills & IQ: 30% Basic Math: 55%.,
What is the topical distribution of the admission test for BS (Engineering) programs?,Analytical Skills & IQ: 20% Basic Math: 30% Advanced Math: 50%.,
What is the composition of the Admission Test for the MS degree program in Computing?,The composition is as follows: Quantitative: 30% Analytical: 30% General Computing: 30% Essay Writing and Text Summary: 10%.,
What are the components of the General Computing section for the MS degree program in Computing?,The components are Programming/Data Structure: 50% Operating Systems: 12.5% Networking: 12.5% Database Systems: 12.5% Software Engineering: 12.5%.,
What is the composition of the Admission Test for the MS degree program in Engineering?,The composition is as follows: Essay Writing: 10% Analytical Skills & IQ: 20% Advanced Math: 10% Specialization Area: 40% Quantitative Methods: 20%.,
What is the composition of the Admission Test for MBA Programs?,The composition is as follows: English: 10% Essay Writing: 30% Analytical Skills & IQ: 20% Quantitative Methods: 20% Business Related Knowledge: 20%.,
How is the merit list prepared for BBA and BS programs?,For BBA and BS programs the merit list is prepared with 50% weight assigned to marks obtained in the Admission Test (online NU Test or NTS exam) 40% weight assigned to FSc (HSSC) or equivalent and 10% weight assigned to Matriculation (SSC) or equivalent.,
How is the merit list for BS Engineering programs calculated?,For BS Engineering programs the merit list is calculated with 33% weight from the Admission Test 50% weight from FSc (HSSC) and 17% weight from Matric (SSC) as per PEC recommendations.,
What happens if a candidate violates rules during the admission test?,The university reserves the right to cancel the admission test of any candidate who is found involved in illegal activities or for violating rules and regulations during the test.,
What is the history of the FAST School of Computing?,The FAST School of Computing started in 1985 as a small affiliated institute and has since expanded to five cities in the country. It now offers five bachelor's degree programs six master's degree programs and two PhD degree programs.,
What innovative technologies does the FAST School of Computing focus on?,The FAST School of Computing focuses on technologies such as Generative AI Deep Learning Data Science Blockchain Cyber Security Gaming Robotics and IoT.,
What is the aim of the FAST School of Computing?,The aim of the FAST School of Computing is to empower youth with capabilities innovation learning and entrepreneurship by integrating and applying innovative technologies for socio-economic development.,
How is the FAST School of Computing recognized in the country?,The FAST School of Computing is recognized as a leader in computing education in the country. It was recently ranked as the top university for computing by P@SHA the computing industry representative of the country.,
How does the FAST School of Computing support student development?,The FAST School of Computing supports student development through outstanding faculty funded research impactful publications innovative ideas well-equipped labs and strong industry alliances. The environment is designed to nourish young talent and offer personalized growth through curricular co-curricular and extra-curricular activities.,
What kind of academic programs does the FAST School of Computing offer?,The FAST School of Computing offers a variety of academic programs that allow students to choose their desired specialization of studies. The programs are designed to inspire and enrich students' talents and skills.,
How can prospective students get more information or assistance?,Prospective students are encouraged to explore the variety of opportunities offered by the University. For more information or assistance they can contact the University directly. The team will be glad to assist with any questions.,
What is the primary focus of the BS (Artificial Intelligence) program?,The primary focus is to provide theoretical knowledge and practical skills required for a professional career in artificial intelligence covering core computing concepts with a specialization in AI and its applications.,
What are the eligibility criteria for admission into the BS (Artificial Intelligence) program?,To be eligible students must have at least 60% marks in SSC (Matric) or an equivalent examination at least 50% marks in HSSC or an equivalent examination and must have passed Mathematics at the HSSC level.,
What types of careers can graduates of the BS (Artificial Intelligence) program pursue?,Graduates can pursue careers such as risk manager reporting analyst project manager enterprise analyst data engineer machine learning engineer and artificial intelligence developer.,
What is the weightage for merit calculation in the BS (Artificial Intelligence) program?,The merit list is prepared by assigning 10% weight to Matric marks 40% weight to Intermediate marks and 50% weight to the score obtained in the NU Admission Test or NTS exam.,
How many credit hours are required for the BS (Artificial Intelligence) degree?,A total of at least 130 credit hours including all core courses is required to earn the BS (Artificial Intelligence) degree.,
What are the main topics covered in the Semester 1 of the BS (Artificial Intelligence) program?,The main topics include Introduction to Information and Communication Technology for AI Programming Fundamentals in AI Applied Physics for AI Calculus & Analytical Geometry for AI Functional English for AI and Ideology and Constitution of Pakistan with AI Perspectives.,
Can students awaiting their HSSC results apply for the BS (Artificial Intelligence) program?,Yes students who have taken the HSSC or an equivalent examination and are awaiting results can apply for provisional admission. If they fail to meet the required marks the admission will be cancelled.,
What is the composition of the admission test for the MS degree program in Computing?,The admission test for the MS degree program in Computing is composed of 30% Quantitative 30% Analytical 30% General Computing and 10% Essay Writing and Text Summary.,
What are the specializations available within the BS (Artificial Intelligence) program?,The program includes specialization areas such as Machine Learning Computer Vision Natural Language Processing and Robotics.,
How are students informed about their admission status?,Selected candidates are informed via SMS on their cell phones and through email. They should also check their admission status on the University websites using their ARN.,
What are the core courses included in Semester 1 for the BS (Artificial Intelligence) program?,Core courses in Semester 1 include Introduction to Information and Communication Technology Programming Fundamentals Applied Physics Calculus & Analytical Geometry Functional English and Ideology and Constitution of Pakistan.,
